transaction_id,customer_id,product_id,product_name,quantity,price,transaction_date,store_id,payment_method
TXN001,CUST123,PROD001,Laptop,1,1200.00,2024-01-15 10:30:00,STORE01,Credit Card
TXN002,CUST456,PROD002,Mouse,2,25.50,2024-01-15 11:45:00,STORE01,Cash
TXN003,CUST789,PROD003,Keyboard,1,75.00,2024-01-15 14:20:00,STORE02,Debit Card
TXN004,CUST123,PROD004,Monitor,1,350.00,2024-01-16 09:15:00,STORE01,Credit Card
TXN005,CUST234,PROD001,Laptop,1,1200.00,2024-01-16 13:30:00,STORE03,Credit Card
TXN006,CUST456,PROD005,USB Cable,3,15.00,2024-01-17 10:00:00,STORE02,Cash
TXN007,CUST567,PROD002,Mouse,1,25.50,2024-01-17 15:45:00,STORE01,Credit Card
TXN008,,PROD003,Keyboard,2,75.00,2024-01-18 11:30:00,STORE02,Cash
TXN009,CUST789,PROD006,Headphones,1,89.99,2024-01-18 16:20:00,STORE03,Debit Card
TXN010,CUST890,PROD001,Laptop,1,1200.00,2024-01-19 10:10:00,,Credit Card
TXN011,CUST123,PROD007,Webcam,1,120.00,2024-01-19 14:55:00,STORE01,Credit Card
TXN012,CUST456,PROD002,Mouse,1,25.50,2024-01-20 09:30:00,STORE02,Cash
